ID,Name,AssetPath,MapPath,Size,AttackType,State,MoveType,ColorType,Color,Description,ModelDescription,BattleDescription
int,string,string,string,MONSTER_INFO_SIZE_DATA,Link,Link,MONSTER_MOVE_TYPE,CONFIG_COLOR_TYPE,string,string,string,string
140101,Firerat,Assets/Resources/Prefab/Monster/Firerat,Magmahill,0,140101,140101,0,1,#8B0000,불탄 기사의 말이 남긴 불씨 속에서 변이되어 태어난 화염쥐,"$실루엣은 쥐나 햄스터와 비슷함
$전체적으로 채도 낮은 짙은 회색 계열의 색상
$동공 없이 어둡게 빛나는 주황색 눈동자 
$등에 두껍게 들러붙은 잿더미
$꼬리 끝에 붉은 불꽃",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140201,Bluelava,Assets/Resources/Prefab/Monster/Bluelava,Magmahill,0,140201,140201,0,1,#8B0000,화염단이 사용하던 무기와 금속 방어구가 마그마에 녹아 생겨난 생명체,"$푸른색 계열 색감
$슬라임 실루엣
$내부에 녹아내린 금속 파편이 떠다님",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140301,Redlava,Assets/Resources/Prefab/Monster/Redlava,Magmahill,1,140301,140301,0,1,#8B0000,화염단이 사용하던 무기와 금속 방어구가 마그마에 녹아 생겨난 생명체,"$오렌지색 붉은 계열 색감
$슬라임 실루엣
$내부에 녹아내린 금속 파편이 떠다님",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140401,Firelizard,Assets/Resources/Prefab/Monster/Firelizard,Magmahill,1,140401,140401,0,1,#8B0000,마그마 언덕 열기에 적응한 야생 도마뱀,"$피부는 채도가 낮은 어두운 갈색 계열
$노란 빛 흰자에 검은 눈동자
$등에 붉게 빛나는 열선 돌기가 있음
$분노 시 꼬리 끝에 불꽃이 튐",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140501,Ashslime,Assets/Resources/Prefab/Monster/Ashslime,Magmahill,0,140501,140501,0,1,#8B0000,화염단의 깃발 조각이 점액에 스며들어 생성된 슬라임,"$잿빛 점액 덩어리 형태
$흰자와 검은색 눈동자
$두 눈 위치가 어긋나 있음
$오래된 붉은 깃발 천과 나무로 된 깃대가 몸에 꽂혀있음",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140601,Magumana,Assets/Resources/Prefab/Monster/Magumana,Magmahill,1,140601,140601,0,1,#8B0000,화염단이 색의 정령을 봉인하기 위해 이용했던 생체 감식체,"$바위처럼 딱딱한 돌기를 지녔음
$동공이 없는 주황색 눈동자이며 분노 시 붉게 발광함
$오브젝트에 따라 꼬리에 있는 불꽃색이 변함
$입 주변에 연기가 피어오름",$공격 발동 거리 내에 진입 시 돌진하며 꼬리로 후려치는 공격함
140701,Firewing,Assets/Resources/Prefab/Monster/Firewing,Magmahill,0,140701,140701,1,1,#8B0000,화염단의 전투 개시를 알렸던 불탄 기사의 반려새,"$피부는 채도가 낮은 검은색 계열
$동공이 없는 흰 눈동자에서 광선이 나옴
$깃털 끝에 붉은 불꽃 일렁임
$검붉은색 날개 펼칠 때 불꽃 잔상이 남음",$공격 발동 거리 내에 진입 시 불덩이를 낙하하며 공격
140801,Burntknight,Assets/Resources/Prefab/Monster/Burntknight,Magmahill,2,140801,140801,0,1,#8B0000,"붉은빛의 화염단의 마지막 생존자, 붉은색을 끝까지 소유하려다 저주받은 존재","$얼굴에 해골 마스크, 동공 없는 붉은 눈동자는 주변 오브젝트의 색상에 반응해 색이 변함
$은빛 광택이 희미하게 남아있는 녹슨 갑옷, 찢어진 카키색 망토를 두르고 있음
$그을린 녹슨 검을 들고 있으며 검을 휘두를 때마다 불꽃 효과
$해골화된 망령마를 타고 있음","$1 공격 : 시야 내 플레이 감지 시 말을 탄 채 이동하며 그을린 녹슨 검을 휘두르며 공격
$2 공격 : HP 일정 구간 진입 시 말과 분리되며 붉은 검을 지면에 꽂아 지형을 파괴하여 공격
$3 공격 : HP 일정 구간 진입 시 플레이어 근처로 순간 이동하며 플레이어가 가지고 있는 색 하
나를 흡수하여 공격"
140901,Blazewraith,Assets/Resources/Prefab/Monster/Blazewraith,Magmahill,0,140901,140901,1,1,#8B0000,색을 지키려다 붉은 저주에 삼켜진 영혼들의 찌꺼기,"$검붉은 실루엣
$동공이 없는 붉은 눈동자
$몸 전체에서 붉은 연기가 끈임없이 피어오름
$가슴 중앙에 짙은 먹색 하트 심장","$공격 1 : 동일 위치에서 플레이어가 누적 999회 사망 시 연기를 뿜어내며 플레이어를 감싸
일정 시간 이동 속도 저하 및 회피 불가 상태로 만듦
$공격 2 : 플레이어가 속박당할 시 플레이어 앞에 순간이동 후 연기 사슬을 던져 공격
$공격 3 : HP 일정 구간 진입 시 플레이어가 직전에 사용한 스킬 패턴을 재현하여 반격"
